university_name,location,course_url,course_or_degree_name,degree_program,ucas_tariff,ucas_tariff_link,ucas_relevant_qualification,a_levels_overall,mandatory_subject_of_a_levels,a_levels_mandatory_minimum_grades,o_levels_overall,mandatory_subject_of_o_levels,o_levels_mandatory_minimum_grades,btec_or_cambridge_technical,btec,btec_extended_diploma,btec_national_diploma,btec_national_extended_diploma,apprenticeship,access_to_higher_educational_diploma,IB_or_international_baccalaureate_points,points_required_from_higher_level_IB_subjects,portfolio_submission,gcse_overall,mandatory_subject_of_gcse,gcse_mandatory_minimum_grades,t_level,t_level_main_subject_grades,t_level_main_subject,t_level_core_subject_grade,bachelors_degree,relevant_work_experience,eligibility_for_SQE,additional_requirements_for_non_UK_degree,cache_technical_level_3,scottish_irish_leaving_certificate,nvq_level,foundation_diploma,ual_extended_diploma,ptlls_or_city_and_guilds,schooling_duration,accreditation_of_prior_experiential_learning_or_APEL,higher_national_diploma_or_HND,higher_national_certificate_or_HNC,foundation_degree,certificate_of_higher_education_or_CertHE,professional_registration,masters_degree,research,recognised_international_foundation_course,year_1_bachelor’s_degree,auditions,interview,ielts,ielts_individual_component,ol_english,al_english,duolingo_overall,duolingo_individual_component,a_UK_bachelors_degree_as_proof_of_english_proficiency,a_bachelors_degree_completed_in_the_english_medium_as_proof_of_english_proficiency,toefl,pte,additional_requirements,url,source_file
University College Birmingham,Birmingham,https://www.bcu.ac.uk/courses/data-analytics-msc,data-analytics,Master's,None,None,A relevant UK or International honours degree from a recognised institution.,2:2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Second Lower,"Five years of relevant managerial work experience, demonstrating in-depth knowledge of the sector for the subject matter you are interested in pursuing.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/postgraduate/data-analytics-msc/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/digital-marketing-ba-hons-top-up/,digital-marketing-ba-hons-top-up,Bachelor's,None,None,"Students who wish to enter the final year top-up will need to have studied one module in marketing at HND with all modules passed with a merit profile, or a foundation degree with 240 credits.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Entry requirements: Academic: Students who wish to enter the final year top-up will need to have studied one module in marketing at HND with all modules passed with a merit profile, or a foundation degree with 240 credits. International students Academic: European and International qualifications studied in a relevant subject matter will also be considered. Applicants will need to have achieved 120 ECTS or equivalent (European Credit Transfer).",https://www.ucb.ac.uk/study/courses/top-up/digital-marketing-ba-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.example.com,aesthetic-practitioner-ba-hons-top-up,Bachelor's,None,None,"UCAS Relevant Qualification: ""A relevant HND or a foundation degree with 240 credits.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Accepted,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/top-up/aesthetic-practitioner-ba-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/theatrical-media-make-up-level-3,theatrical-media-make-up-level-3,Level 3,None,None,"UCAS Relevant Qualification: ""A relevant Level 2 qualification in Theatrical and Media Make-up, Beauty Therapy, Hairdressing, Art and Design, Theatre Studies, History, Performing Arts, Media/Film Studies, Fashion, Photography or Costume Production.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"4 GCSEs at grade 4 (grade C) or above, or equivalent.",English (Language or Literature) or Maths at grade 4 or above.,4,None,None,None,None,None,2 years' relevant beauty industry experience.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/college/theatrical-media-make-up-level-3/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/primary-education-studies-ba-hons-accelerated/,primary-education-studies-ba-hons-accelerated,Bachelor's,112,None,"UCAS Relevant Qualification: ""A minimum of 112 UCAS points from a minimum of 2 A-levels (e.g. A*A* or BBC) in any subject combination, a T-level with an overall Merit grade, or a BTEC with a grade profile of DMM from any subject.""",Required,None,None,None,None,None,DMM,None,None,None,None,None,None,None,None,None,A*-C/9-4,"maths, English language and science",None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Disclosure and Barring Service (DBS) check: ""Mandatory""",https://www.ucb.ac.uk/study/courses/undergraduate/primary-education-studies-ba-hons-accelerated/,ucb.xlsx
University College Birmingham,Birmingham,https://www.example.com,aesthetics-ba-hons,Bachelor's,80 UCAS Tariff points,//www.example.com,"A-levels, T-levels, BTEC, Access to Higher Education Diploma",CDD,None,None,None,None,None,MMP,Pass,None,None,None,Level 3,None,None,None,None,Science/Biology grade 9-4/A*-C or equivalent,Science/Biology,9-4/A*-C,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Completion of an English Language qualification is required for international students.,https://www.ucb.ac.uk/study/courses/undergraduate/aesthetics-ba-hons-fda/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/cabin-crew-level-2,cabin-crew-level-2,Level 2,None,None,"UCAS Relevant Qualification: ""4 GCSEs at grade 3 (grade D) including English (Language or Literature) and Maths, or equivalent.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"4 GCSEs at grade 3 (grade D) including English (Language or Literature) and Maths, or equivalent.","English, Maths",3,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Swimming Requirement: ""Students must be able to swim unaided for 25 metres and tread water for a minimum of 1 minute.""",https://www.ucb.ac.uk/study/courses/college/cabin-crew-level-2/,ucb.xlsx
University College Birmingham,Birmingham,None,maths-a-level,A-level,56,None,"UCAS Relevant Qualification: ""A combination of acceptable Level 3 qualifications such as A-levels, T Levels, or BTEC Diplomas.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5 or higher in five GCSE subjects,"English Literature or Language, Maths",7 in GCSE Maths,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/sixth-form/maths-a-level/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/food-and-beverage-service-supervision-level-3,food-and-beverage-service-supervision-level-3,Bachelor's,56,None,"UCAS Relevant Qualification: ""A relevant Level 2 qualification in food and beverage service.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"GCSE English (Language or Literature) and maths at grade 4/C are desirable for entrance, but not essential.","English, Maths",4/C,None,None,None,None,None,2 years' relevant industry experience.,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Supporting documents required: ""School applicants will be required to provide a good school report, which must include attendance.""",https://www.ucb.ac.uk/study/courses/college/food-and-beverage-service-supervision-level-3/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/tourism-aviation-events-and-hospitality-btec-level-3-national-extended-diploma-in-travel-and-tourism,tourism-aviation-events-and-hospitality-btec-level-3-national-extended-diploma-in-travel-and-tourism,Bachelor's,56,None,"UCAS Relevant Qualification: ""4 GCSEs at grade 4 (grade C) which must include English (Language or Literature) or Maths, or equivalent.""",None,None,None,None,None,None,Passes,None,None,None,None,None,None,None,None,None,4 GCSEs at grade 4 (grade C),"English (Language or Literature), Maths",3 (grade D) in English (Language or Literature) or Maths,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Supporting documents required: ""Good school report, reference from previous education provider or employer""",https://www.ucb.ac.uk/study/courses/college/tourism-aviation-events-and-hospitality-level-3/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/postgraduate/engineering-management-msc/,engineering-management,Master's,None,None,"A grade classification of 2:2 is required in a (Hons) bachelor's degree in engineering, physical sciences or a related engineering or technological discipline where relevant subject areas have been studied.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Second Lower,Applicants in current relevant employment should possess a minimum of five years of relevant managerial experience in engineering and be able to provide a reference detailing roles and responsibilities from their line manager.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0,5.5,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/postgraduate/engineering-management-msc/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/undergraduate/events-management-ba-hons-fda/,events-management-ba-hons,Bachelor's,112,None,"UCAS Relevant Qualification: ""A combination of acceptable Level 3 qualifications such as A-levels, T Levels, or BTEC Diplomas.""",BBC,None,None,None,None,None,DMM,None,None,None,None,Level 3,None,None,None,None,None,None,None,Merit with a core component of grade B,None,None,None,None,Accepted,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Additional Requirements:
Work-based: ""We also give equal consideration to applicants who are currently in work and wish to apply to University College Birmingham. To apply, you must have a minimum of 3 years' relevant work experience, demonstrating management or supervisory duties. Your application must also include a reference from your line manager supporting your entry to higher education.""
International students: ""For academic and English entry requirements for EU and international students, please visit the Country Specific Information page.""
",https://www.ucb.ac.uk/study/courses/undergraduate/events-management-ba-hons-fda/,ucb.xlsx
University College Birmingham,Birmingham,https://www.example.com,finance-and-accounting-bsc-hons-top-up,Bachelor's,None,None,"UCAS Relevant Qualification: ""A relevant HND or a foundation degree in the areas of accounting, banking and finance, business finance, economics or finance, with 240 credits.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/top-up/finance-and-accounting-bsc-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.example.com,finance-and-accounting,Master's,None,None,A subject-related UK or International honours degree from a recognised institution.,2:2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Grade A*-C or 9-4, or equivalent Level 2 qualification.",Mathematics,A*-C or 9-4,None,None,None,None,Second Lower,"5 years of relevant managerial work experience, demonstrating in-depth knowledge of the sector.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/postgraduate/finance-and-accounting-msc-pgdip/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/health-and-social-care-bsc-hons-fdsc/,health-and-social-care-bsc-hons,Bachelor's,80,None,"UCAS Relevant Qualification: ""A-levels, T-levels, BTEC, Access to Higher Education Diploma""",CDD,None,None,None,None,None,MMP,None,None,None,None,None,None,None,None,None,A*-C or 9-4,English,None,Pass (C),None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Disclosure and Barring Service (DBS) check: ""Mandatory""",https://www.ucb.ac.uk/study/courses/undergraduate/health-and-social-care-bsc-hons-fdsc/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/psychology-bsc-hons/,psychology,Bachelor's,96 UCAS Tariff points,None,A-levels: An A-level grade profile of CCCT; T-levels: A T-level graded Pass with a core component of grade C; BTEC: A BTEC grade profile of MMM. This can be achieved from either an Extended Diploma or a combination of smaller BTEC qualifications; Access to Higher Education Diploma: 96 UCAS Tariff points including a minimum of 15 Level 3 credits at Distinction.,CCCT,None,None,None,None,None,MMM,Pass (96 UCAS points),None,None,None,None,None,None,None,None,English and maths GCSE at grade C/grade 4 or above (or equivalent),"English, Maths",C or 4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Students on this course are subject to the BPS Code of Professional Conduct and University Fitness to Practise Policy, together with a Disclosure and Barring Service (DBS) check. University College Birmingham will co-ordinate and fund the completion of the DBS check.",https://www.ucb.ac.uk/study/courses/undergraduate/psychology-bsc/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/psychology-with-health-bsc-hons,psychology-with-health,Bachelor's,96 UCAS Tariff points,None,"A-levels, T-levels, BTEC, Access to Higher Education Diploma",CCCT,None,None,None,None,None,MMM,Pass (96 UCAS points),None,None,None,None,None,None,None,None,English and maths GCSE at grade C/grade 4 or above (or equivalent),"English, Maths",C or 4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Students on this course are subject to the BPS Code of Professional Conduct and University Fitness to Practise Policy, together with a Disclosure and Barring Service (DBS) check.",https://www.ucb.ac.uk/study/courses/undergraduate/psychology-with-health-bsc-hons/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/undergraduate/introduction-to-cyber-security,introduction-to-cyber-security,Bachelor's,None,None,GCSEs: Maths and English GCSE or equivalent; Basic computer literacy and awareness of the internet; Relevant industry experience may also be considered an alternative.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Maths and English GCSE or equivalent,"Maths, English",None,None,None,None,None,None,Relevant industry experience may also be considered an alternative.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,This course is not open to international students.,https://www.ucb.ac.uk/study/courses/undergraduate/introduction-to-cyber-security/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/digital-support-services-t-level-networking-and-cybersecurity/,digital-support-services-t-level-networking-and-cybersecurity,T-Level,56,None,"UCAS Relevant Qualification: ""5 GCSEs at grade 4 (grade C) including English Language or equivalent. GCSE Maths at grade 5.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5C,"English Language, Maths",4,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Placement: ""315 hours minimum over two years""",https://www.ucb.ac.uk/study/courses/college/digital-support-services-t-level-networking-and-cybersecurity/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/postgraduate/v300-independent-and-supplementary-prescribing/,independent-and-supplementary-prescribing,Master's,None,None,"NMC registration as a Registered Nurse (Level 1), midwife or SCPHN, with one year's relevant experience in the clinical field.",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Honours degree,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NMC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/postgraduate/v300-independent-and-supplementary-prescribing-programme/,ucb.xlsx
University College Birmingham,Birmingham,https://www.bcu.ac.uk/courses/executive-mba,executive-mba,Master's,None,None,Bachelor's degree with a minimum 2:2 or substantial management experience,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5 years of demonstrated industry experience in a leadership position,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Required,None,None,None,None,None,None,None,None,None,None,This course is not open to international students.,https://www.ucb.ac.uk/study/courses/postgraduate/executive-mba-master-of-business-administration/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/strength-conditioning-and-sports-nutrition-bsc-hons-top-up/,strength-conditioning-and-sports-nutrition-bsc-hons-top-up,Bachelor's,None,None,"UCAS Relevant Qualification: ""A relevant HND or a foundation degree in the areas of Sport and Exercise Science, with 240 credits.""",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/top-up/strength-conditioning-and-sports-nutrition-bsc-hons-top-up/,ucb.xlsx
University College Birmingham,Birmingham,https://www.bcu.ac.uk/courses/construction-management-higher-national-certificate,construction-management-higher-national-certificate,Higher National Certificate,32,None,"UCAS Relevant Qualification: ""A-levels, T-levels, BTEC, Access to Higher Education Diploma, other Level 3 qualifications""",EE,None,None,None,None,None,PP,None,None,None,None,Level 3,None,None,None,None,Minimum grade 4 in GCSE Mathematics,Mathematics,4,Pass,None,None,None,None,3 years' relevant work experience,None,None,CACHE Technical Level 3 Requirement: None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Additional Requirements: None,https://www.ucb.ac.uk/study/courses/undergraduate/construction-management-higher-national-certificate/,ucb.xlsx
University College Birmingham,Birmingham,https://www.example.com,carpentry-and-joinery-level-1,Bachelor's,None,None,"3 GCSE at grade 3 including maths or English (Language or Literature), with at least a grade 1 in the other subject",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"3 GCSE at grade 3 including maths or English (Language or Literature), with at least a grade 1 in the other subject","Maths, English",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://www.ucb.ac.uk/study/courses/college/carpentry-and-joinery-level-1/,ucb.xlsx
University College Birmingham,Birmingham,https://www.ucb.ac.uk/courses/postgraduate/public-health-msc/,public-health,Master's,None,None,"Honours degree (2:2 or above) in a health, biological or social sciences-related degree.",Required,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,C/4 or above in English and Maths GCSEs (or equivalent),"English, Maths",C or 4,None,None,None,None,Second Lower,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0,5.5,None,None,None,None,Accepted,Accepted,None,None,None,https://www.ucb.ac.uk/study/courses/postgraduate/public-health-msc/,ucb.xlsx
